Filename,190301_ALB_P2R2G_homo_water.clklb,,,,,,,,,,,,,,,,,,,,,,,,
Start Day,1  01-03-19,,,,,,,,,,,,,,,,,,,,,,,,
End Day,24  24-03-19,,,,,,,,,,,,,,,,,,,,,,,,
Start Hr,0,,,,,,,,,,,,,,,,,,,,,,,,
Tau,24,,,,,,,,,,,,,,,,,,,,,,,,
Bin (mn),1,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,
Min / Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
113,NaN,67,72,14,4,112,45,85,65,50,89,78,44,0,45,59,14,86,0,15,120,6,86,20,52
114,NaN,58,63,4,3,94,61,83,63,64,36,46,73,0,142,39,1,70,6,26,89,4,86,2,87
115,NaN,25,32,20,2,102,17,39,29,67,133,74,42,0,66,118,15,33,4,1,88,10,84,9,74
116,NaN,105,53,10,1,111,98,76,105,45,71,92,117,1,80,84,12,107,4,10,48,8,50,0,42
117,NaN,64,10,1,5,44,42,65,71,116,51,30,75,0,77,77,5,64,0,27,34,1,108,0,137
118,NaN,58,8,2,2,147,27,61,64,85,84,105,73,11,42,83,41,81,0,0,76,65,73,14,83
119,NaN,78,10,12,1,106,117,67,80,76,32,64,76,23,127,40,16,85,17,7,32,51,76,22,64
120,NaN,34,1,21,0,73,93,45,36,81,115,70,40,2,77,129,3,37,3,19,38,146,92,100,34
121,NaN,103,20,8,0,64,98,123,124,33,78,67,128,0,73,72,100,136,3,0,46,87,34,43,21
122,NaN,10,21,19,19,50,90,84,75,110,82,31,66,33,68,91,99,92,30,25,9,90,67,80,27
123,NaN,0,0,0,2,105,34,63,76,61,79,87,40,33,52,70,92,96,4,9,52,87,65,8,59
124,NaN,0,4,1,0,78,104,80,85,71,35,91,70,1,136,34,96,51,6,0,45,31,52,0,8
125,NaN,26,35,0,1,59,67,47,32,55,87,86,24,0,73,92,38,47,10,12,77,59,133,13,15
126,NaN,55,56,0,0,78,87,145,131,0,55,65,67,9,86,84,135,69,3,0,79,34,74,0,33
127,NaN,38,56,0,3,48,68,41,74,74,48,25,15,0,87,78,96,25,2,0,35,5,63,10,119
128,NaN,33,40,13,2,150,37,46,77,37,44,118,47,16,39,68,99,48,0,0,69,19,46,0,85
129,NaN,18,111,61,0,96,99,131,75,79,5,79,15,5,125,23,42,82,0,0,74,1,50,8,96
130,NaN,19,29,30,1,69,81,84,50,77,42,71,0,30,95,105,20,43,1,27,66,4,129,1,62
131,NaN,28,5,25,0,61,85,70,122,40,10,92,24,112,78,67,72,102,22,1,31,4,75,0,2
132,NaN,21,2,43,2,33,89,80,25,49,0,37,27,34,68,20,84,42,44,0,29,10,73,2,24
133,NaN,22,28,29,0,121,61,42,0,73,65,133,49,48,11,16,5,88,1,10,119,8,83,1,1
134,NaN,16,4,99,0,82,143,121,117,27,11,94,16,128,38,2,1,92,10,0,38,0,49,1,17
135,NaN,52,9,36,0,76,80,83,70,38,33,65,0,43,32,102,28,37,3,12,17,20,88,2,12
136,NaN,59,7,10,3,81,81,83,55,0,11,96,4,60,29,78,59,124,0,50,8,14,82,0,12
137,NaN,52,7,0,24,51,77,74,87,18,5,53,12,23,71,77,73,95,0,54,0,3,86,0,17
138,NaN,27,0,0,34,119,56,46,37,29,7,124,6,32,24,60,27,0,0,80,9,6,71,19,8
139,NaN,16,0,4,18,76,84,129,117,0,2,78,8,107,66,44,85,135,17,26,0,10,32,0,39
140,NaN,4,1,3,18,73,62,81,65,81,71,91,3,39,18,80,80,94,20,19,22,0,103,2,7
141,NaN,17,0,0,0,87,89,71,41,27,84,55,5,39,23,142,86,87,0,13,16,20,83,33,3
142,NaN,26,19,0,42,51,81,83,70,7,51,31,43,82,37,23,84,70,6,6,0,9,97,42,9
143,NaN,11,25,8,9,147,48,37,39,61,100,117,29,29,3,116,39,38,9,17,9,17,83,9,0
144,NaN,47,2,0,0,86,142,8,85,27,0,73,0,58,1,37,16,4,1,0,42,4,43,3,3
145,NaN,59,5,0,0,65,87,0,61,66,0,46,5,25,4,81,0,21,34,2,83,3,112,17,5
146,NaN,59,39,0,1,56,100,17,72,18,38,38,17,19,19,92,39,45,18,11,96,1,25,18,0
147,NaN,71,65,46,15,35,76,62,71,71,17,0,5,56,73,30,59,33,100,50,54,0,53,15,18
148,NaN,36,35,68,28,65,48,36,46,50,58,5,0,27,64,75,25,16,35,57,76,5,91,9,57
